altitude_ft,num_simulations,avg_velocity_mps,avg_kinetic_energy_j,avg_death_probability,casualty_probability,total_casualties
50,10000,14.70,681.1,0.2129,0.013900,139
100,10000,19.50,1197.8,0.5178,0.033100,331
150,10000,22.76,1631.9,0.5569,0.031100,311
200,10000,25.26,2009.6,0.5909,0.033900,339
250,10000,27.28,2345.0,0.6211,0.038400,384
300,10000,28.99,2647.0,0.6482,0.039500,395
350,10000,30.46,2921.8,0.6730,0.032200,322
400,10000,31.74,3173.6,0.6956,0.037600,376
450,10000,32.88,3406.1,0.7165,0.043700,437
500,10000,33.91,3621.7,0.7360,0.034400,344
550,10000,34.84,3822.7,0.7540,0.040200,402
600,10000,35.68,4010.7,0.7710,0.045700,457
650,10000,36.46,4187.3,0.7869,0.042800,428
700,10000,37.18,4353.6,0.8018,0.044000,440
750,10000,37.84,4510.6,0.8160,0.046200,462
800,10000,38.46,4659.3,0.8293,0.047800,478
850,10000,39.04,4800.4,0.8420,0.049300,493
900,10000,39.58,4934.5,0.8541,0.053800,538
950,10000,40.09,5062.4,0.8656,0.053600,536
1000,10000,40.57,5184.3,0.8766,0.046000,460
